Name,Membership,Min Price,Max Price,Median Price,Total Daily Trade Value
Stripy feather,N,2,5,3,+150%
Noose wand,N,1,2,1,+100%
Teasing stick,N,2,4,2,+100%
Cadavaberry seed,N,2,3,1,+50%
Serum 207 (3),N,2,3,1,+50%
Mind rune,N,2,3,1,+50%
Spice,N,36,53,17,+47%
Attack potion(4),N,5,7,2,+40%
Empty cup,N,10,14,4,+40%
Black dragon mask,N,37.4k,52.4k,14.9k,+39%
Ancient bracers,N,"9,357",13.0k,"3,595",+38%
Cake tin,N,49,68,19,+38%
Zamorak kiteshield,N,39.1k,53.0k,14.0k,+35%
Cosmic rune,N,136,184,48,+35%
Blue d'hide chaps (g),N,"5,512","7,431","1,919",+34%
Bow of faerdhinen (ina...,N,98.0m,131.3m,33.3m,+34%
Enhanced crystal weapo...,N,100.0m,134.0m,34.0m,+34%
Amethyst dart tip,N,275,371,96,+34%
Trading sticks,N,6,8,2,+33%
Mind tiara,N,6,8,2,+33%
Dwellberry seed,N,3,4,1,+33%
Empty oil lamp,N,3,4,1,+33%
Leaping trout,N,6,8,2,+33%
Bronze javelin,N,3,4,1,+33%
Steel dart,N,3,4,1,+33%
Enhanced crystal telep...,N,2.6m,3.4m,844.1k,+32%
Blade of saeldor (inac...,N,108.0m,142.6m,34.5m,+31%
Yak-hide armour,N,315,415,100,+31%
Glassblowing pipe,N,57,75,18,+31%
Secateurs,N,94,123,29,+30%
Cod,N,10,13,3,+30%
Basalt,N,516,669,153,+29%
Pineapple seed,N,24,31,7,+29%
Extended antifire(4),N,159,206,47,+29%
Crystal armour seed,N,6.4m,8.2m,1.7m,+27%
Guthix bracers,N,11.2k,14.2k,"2,982",+26%
Air tiara,N,8,10,2,+25%
Empty plant pot,N,8,10,2,+25%
Asgarnian seed,N,4,5,1,+25%
Slayer's enchantment,N,"1,531","1,925",394,+25%
Harralander tar,N,4,5,1,+25%
Topaz bolts (e),N,4,5,1,+25%
Earth rune,N,4,5,1,+25%
Fire rune,N,4,5,1,+25%
Shortbow (u),N,4,5,1,+25%
Apples(5),N,322,400,78,+24%
Ensouled imp head,N,606,746,140,+23%
Black wizard robe (t),N,128.9k,159.5k,30.6k,+23%
Leaping salmon,N,13,16,3,+23%
Craw's bow (u),N,13.8m,16.9m,3.1m,+22%
Raw anchovies,N,77,94,17,+22%
Mithril seeds,N,404,494,90,+22%
Thammaron's sceptre (u...,N,2.5m,3.0m,533.0k,+21%
Bowl of water,N,37,45,8,+21%
Amulet of avarice,N,385.5k,464.4k,78.9k,+20%
Limpwurt seed,N,15,18,3,+20%
Dust rune,N,5,6,1,+20%
Bandit's brew,N,"1,341","1,614",273,+20%
Bronze platelegs (g),N,18.7k,22.6k,"3,815",+20%
Chisel,N,62,75,13,+20%
Body rune,N,5,6,1,+20%
Ham joint,N,3.3m,4.0m,662.1k,+19%
Anti-venom(4),N,"1,857","2,215",358,+19%
Ancient crozier,N,"4,233","5,076",843,+19%
Saradomin bracers,N,35.4k,42.2k,"6,797",+19%
Black robe,N,758,908,150,+19%
Rangers' tights,N,315.3k,374.2k,58.9k,+18%
Avernic defender hilt,N,34.2m,40.4m,6.2m,+18%
Mystic boots (light),N,18.3k,21.7k,"3,451",+18%
Robe top of darkness,N,91.4k,108.5k,17.1k,+18%
Zamorak chaps,N,477.0k,563.1k,86.1k,+18%
Redberries,N,33,39,6,+18%
Bow string,N,111,132,21,+18%
Anchovies,N,111,132,21,+18%
Seed dibber,N,134,157,23,+17%
Ensouled aviansie head...,N,"1,593","1,867",274,+17%
Dragon legs/skirt orna...,N,28.1k,33.1k,"4,959",+17%
Hammer,N,56,66,10,+17%
Snape grass,N,158,186,28,+17%
Marigolds,N,120,140,20,+16%
Krandorian seed,N,6,7,1,+16%
Mushroom pie,N,850,990,140,+16%
Calquat tree seed,N,183,214,31,+16%
Ensouled goblin head,N,428,498,70,+16%
Zamorak bracers,N,56.2k,65.3k,"9,148",+16%
Silk,N,12,14,2,+16%
Shortbow,N,31,36,5,+16%
Oak kitchen table,N,6,7,1,+16%
Saradomin d'hide shiel...,N,99.9k,115.2k,15.3k,+15%
Guthix d'hide shield,N,117.5k,135.2k,17.7k,+15%
Ancient page 3,N,16.3k,18.9k,"2,562",+15%
Yak-hide armour,N,855,991,136,+15%
Desert goat horn,N,39,45,6,+15%
Steel dagger,N,20,23,3,+15%
Saw,N,184,213,29,+15%
Tarromin potion (unf),N,178,205,27,+15%
Inquisitor's hauberk,N,173.2m,198.7m,25.4m,+14%
Blue wizard robe (g),N,275.5k,316.7k,41.2k,+14%
Efh salt,N,49,56,7,+14%
Death tiara,N,"6,049","6,931",882,+14%
